generation,individual,val_loss,n_params,n_layers,architecture
38,5,0.478847,4376965,7,[128/k3→128/k3→1024/k1→256/k1→512/k3→512/k1→512/k3]
38,6,0.535911,7390085,5,[128/k3→128/k3→1024/k1→512/k3→512/k3]
38,7,0.475365,3974405,6,[128/k3→64/k3→1024/k1→256/k1→512/k3→512/k3]
39,0,0.472665,4113797,6,[128/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
39,1,0.488429,4026693,6,[64/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
39,2,0.545437,7390085,5,[128/k3→128/k3→1024/k1→512/k3→512/k3]
39,3,0.475538,4113797,6,[128/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
39,4,0.475925,4288005,6,[256/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
39,5,0.528213,7390085,5,[128/k3→128/k3→1024/k1→512/k3→512/k3]
39,6,0.535557,7390085,5,[128/k3→128/k3→1024/k1→512/k3→512/k3]
39,7,0.473641,4113797,6,[128/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
40,0,0.472303,4113797,6,[128/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
40,1,0.528163,7390085,5,[128/k3→128/k3→1024/k1→512/k3→512/k3]
40,2,0.481163,4026693,6,[64/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
40,3,0.525138,7564293,5,[256/k3→128/k3→1024/k1→512/k3→512/k3]
40,4,0.473733,4113797,6,[128/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
40,5,0.471798,4113797,6,[128/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
40,6,0.519943,7390085,5,[128/k3→128/k3→1024/k1→512/k3→512/k3]
40,7,0.474302,4113797,6,[128/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
41,0,0.470013,4113797,6,[128/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
41,1,0.475764,4026693,6,[64/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
41,2,0.471693,4113797,6,[128/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
41,3,0.518384,7653253,6,[128/k3→128/k3→1024/k1→512/k3→512/k3→512/k1]
41,4,0.477222,4026693,6,[64/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
41,5,0.514740,7390085,5,[128/k3→128/k3→1024/k1→512/k3→512/k3]
41,6,0.471922,4113797,6,[128/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
41,7,0.519710,8154629,6,[256/k3→256/k3→128/k3→1024/k1→512/k3→512/k3]
42,0,0.469212,4113797,6,[128/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
42,1,0.506243,7653253,6,[128/k3→128/k3→1024/k1→512/k3→512/k3→512/k1]
42,2,0.472085,4026693,6,[64/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
42,3,0.504975,7390085,5,[128/k3→128/k3→1024/k1→512/k3→512/k3]
42,4,0.475375,4026693,6,[64/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
42,5,0.475941,4261509,7,[128/k3→128/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
42,6,0.530426,3966085,5,[128/k3→1024/k1→256/k1→512/k3→512/k3]
42,7,0.472583,4026693,6,[64/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
43,0,0.469160,4113797,6,[128/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
43,1,0.468852,4113797,6,[128/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
43,2,0.469365,4026693,6,[64/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
43,3,0.478189,13465925,7,[64/k3→128/k3→1024/k1→1024/k3→256/k1→512/k3→512/k3]
43,4,0.499887,7653253,6,[128/k3→128/k3→1024/k1→512/k3→512/k3→512/k1]
43,5,0.473199,4636421,6,[512/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
43,6,0.472455,4026693,6,[64/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
43,7,0.532167,3966085,5,[128/k3→1024/k1→256/k1→512/k3→512/k3]
44,0,0.468533,4113797,6,[128/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
44,1,0.468091,4113797,6,[128/k3→128/k3→1024/k1→256/k1→512/k3→512/k3]
44,2,0.474286,8615237,7,[64/k3→128/k3→1024/k1→512/k3→256/k1→512/k3→512/k3]
44,3,0.521902,5292933,5,[128/k3→128/k3→1024/k1→512/k3→512/k1]
44,4,0.538601,2196101,5,[128/k3→1024/k1→256/k1→256/k3→512/k3]
44,5,0.498029,2276101,5,[512/k3→128/k3→1024/k1→256/k1→512/k3]
44,6,0.522976,2276101,5,[512/k3→128/k3→1024/k1→256/k1→512/k3]
44,7,0.516049,13405317,6,[128/k3→1024/k1→1024/k3→256/k1→512/k3→512/k3]
